name,steward,source,length,description,accessible,roadbike,hike,mtnbike,equestrian,xcntryski,conditions,map_url,dsgnations
Brandywine Gorge Trail,CVNP,CVNP,,"Spring wildflowers, autumn leaves, and frozen cascades of winter ice make this an enjoyable route all year. The unpaved loop trail takes you from 65-foot Brandywine Falls down into the steep gorge and back up again. Overlooking the falls are ruins of past industry and the historic Inn at Brandywine Falls. A short boardwalk next to the parking lot (the Brandywine Falls Trail) provides photogenic views of the thundering water.",,,,,,,,,
Brandywine Falls Trail,CVNP,CVNP,,"This short, hard-surfaced trail offers views of the 65-foot Brandywine Falls—one of the most popular destination in this national park. The boardwalk, upper observation platform, picnic area, and restrooms are stroller and wheelchair accessible. Steep stairs to the lower viewing platform are closed during slippery conditions.",,,,,,,,,
Stanford Trail,CVNP,CVNP,,"This unpaved trail is challenging because of several steep sections. It begins at the historic Stanford House which offers overnight lodging. After running along an old farm field, the trail heads into the woods. American beech trees tower overhead. A side trail to Averill Pond is a good place to see wildlife. Daffodils planted by the former landowners still grow among the wildflowers in spring. This trail links the Towpath Trail and Brandywine Gorge Trail.",,,,,,,,,
Stanford House Connector Trail,CVNP,CVNP,,"This short trail is firm and flat. North of Boston Store Visitor Center, it links the Towpath Trail with the more rugged Stanford Trail and the Brandywine Gorge Trail beyond. The historic Stanford House provides overnight lodging.",,,,,,,,,
Blue Hen Falls Trail,CVNP,CVNP,,"This short trail is rough and steep in places, descending to a scenic creek. The lovely Blue Hen Falls is a favorite with photographers, especially in fall and winter. The water erodes the rock at its base, creating attractive potholes and plunge pools. To prevent personal injury and protect the fragile habitat, please stay behind the trail fence. For a longer hike, continue on the Buckeye Trail.",,,,,,,,,
Tree Farm Trail,CVNP,CVNP,,"This unpaved loop trail starts near Horseshoe Pond and gently rolls through fields and forests. The property was once part of what is now Heritage Farms in Peninsula. Notice the rows of overgrown Christmas trees. The mixed habitats support a variety of wildlife, making the trail popular with birdwatchers. A bench with a pleasant view is available at the halfway point. From the parking lot, the short Horseshoe Pond Trail provides access to a wheelchair-accessible fishing pier and a picnic pavilion. In winter, this is a great place for cross-country skiers who can handle hills.",,,,,,,,,
Horseshoe Pond Trail,CVNP,CVNP,,"This short, flat, firm trail provides access from the parking lot to a wheelchair-accessible fishing pier and a picnic pavilion overlooking Horseshow Pond. This is a popular place to view fall colors. The trail links with the longer, unpaved Tree Farm Trail.",,,,,,,,,
Oak Hill Trail,CVNP,CVNP,,"This loop trail is flat and unpaved. It leads past old farm fields, across streams, through planted pines and natural forest, and beside Sylvan Pond. During the warm months, watch for butterflies, birds, small mammals, dragonflies, frogs, and beaver. In winter, this is a great place to cross-country ski. Sylvan Pond is a popular place to fish, take photographs, and enjoy fall colors.",,,,,,,,,
Plateau Trail,CVNP,CVNP,,"This unpaved wooded trail is a longer, more challenging loop encircling the Oak Hill Trail. The trails connect in several places, offering options for hiking and cross-country skiing. A short spur trail leads to an overlook called Hemlock Point. Read trail signs carefully to avoid getting lost. Trails to Cuyahoga Valley Environmental Education Center are closed to the public to ensure student safety.",,,,,,,,,
Boston Run Trail,CVNP,CVNP,,"This unpaved loop trail is mostly wooded, featuring stands of grey-barked beech trees and a ravine of hemlocks. It twice crosses the tributary of the Cuyahoga River for which the trail is named. The length and moderate hills make this a good choice for intermediate-level cross-country skiers and runners. Watch for birds that prefer mature forests.",,,,,,,,,
