id,source,steward,name,trlsurface,length,accessible,roadbike,hike,mtnbike,equestrian,xcntryski,conditions,dogs,map_url,description
BH1,MPSSC,MPSSC,Bike & Hike Trail,asphalt,34,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/Bike&HikeTrail-2013a.pdf,"All 34 miles of the Bike & Hike trail are paved. Some portions of the trail use neighborhood streets. Please follow the green biking signs until you rejoin the established trail. For your convenience, restrooms are located at the Brandywine Falls, SR 303, Springdale, Silver Springs and SR 91 lots."
BH2,MPSSC,MPSSC,Bike & Hike Connector,asphalt,4.5,y,y,y,n,n,y,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/Bike&HikeTrail-2013a.pdf,Bike & Hike Connector extends the Bike & Hike Trail to connect the northern and southern legs of the Bike & Hike Trail.
BT1,MPSSC,MPSSC,Buckeye Trail,natural,3.4,n,n,y,n,n,n,,y,http://www.buckeyetrail.org/sections/sections.php?section=akron#,
CV1,MPSSC,MPSSC,Overlook Trail,natural,0.5,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf,"The flat, easy Overlook Trail provides spectacular views of the Cuyahoga River, 125 feet below the Overlook Deck. Good for users with wheelchairs, walkers, canes and strollers."
CV2,MPSSC,MPSSC,Oxbow Trail,natural,1.2,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf,The moderate Oxbow Trail provides welcome refuge from the everyday hustle and bustle of urban life.
CV3,MPSSC,MPSSC,Chuckery Trail,natural,2.4,n,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf,"The trail gives hikers a glimpse of the Indian Signal Tree, reportedly shaped by American Indians, before passing the Cuyahoga River, crossing the parkway and heading uphill; then it loops back to the start."
CV4,MPSSC,MPSSC,Overlook Connector Trail,natural,0.12,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf,
CV5,MPSSC,MPSSC,Overlook Connector Trail,natural,0.11,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf,
CV6,MPSSC,MPSSC,Schumacher Trail,natural,1.2,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-North-2013.pdf,The hilly Schumacher Trail provides a closer look at some of Summit County's most pristine scenery.
CV7,MPSSC,MPSSC,Valley Link Trail,natural,2.8,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SandRunMetroPark-2013.pdf,The Valley Link Trail connects to the Schumacher Valley Area of Cascade Valley / North.
DQ1,MPSSC,MPSSC,Quarry Trail,natural,1.2,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/DeepLockQuarryMetroPark-2013.pdf,"Discarded mill stones are scattered along the moderate Quarry Trail, which takes visitors through the woods to an old quarry. You can also link to the Towpath Trail and take a short spur to the park's namesake, the deepest lock on the Ohio & Erie Canal."
DQ2,MPSSC,MPSSC,Towpath Connector,natural,0.3,y,y,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/DeepLockQuarryMetroPark-2013.pdf,Deep Lock Quarry Towpath Connector Trail connects to the Towpath Trail.
FR1,MPSSC,MPSSC,Daffodil Trail,natural,0.6,y,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf,"An estimated 40,000 daffodils -- including dozens of varieties -- bloom each spring along the H.S. Wagner Daffodil Trail, named for the park district's first director-secretary, who planted the first bulbs here in the late 1930s. Peak bloom is typically mid-April."
FR2,MPSSC,MPSSC,Old Mill Trail,natural,1,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf,"The trail takes hikers through beech-maple woods. Be sure to look for the Brush Family marker, which reads: ""To all those who love as he loved the far sky and smiling land."""
FR3,MPSSC,MPSSC,Rock Creek Trail,natural,1.2,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf,"The picturesque Rock Creek Trail leads hikers on a shaded, basic trail through beautiful beech-maple woods."
FR4,MPSSC,MPSSC,Stream Restoration Trail,natural,0.3,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FurnaceRunMetroPark-2013.pdf,This trail takes you by the stream restoration project.
FS1,MPSSC,MPSSC,Redwing Trail,natural,1.1,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf,Redwing Trail is an easy loop footpath that connects to the Willow Trail.
FS2,MPSSC,MPSSC,Walking Trail,natural,0.9,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf,The easy Walking Course is a favorite among seniors and young families. It passes the Tuscarawas Race and connects to Willow Trail.
FS3,MPSSC,MPSSC,Willow Trail,natural,1.6,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf,"Willow Trail passes the Tuscarawas Race, Tuscarawas River and Little Turtle Pond, where young anglers 15 and under can fish."
FT1,MPSSC,MPSSC,Freedom Trail,asphalt,4.2,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/getdoc/31e03c5f-a063-489e-92d5-ff11e30baf24/MetroParksFreedomTrail-2013.aspx,"The Freedom Trail travels 4.2 miles between the Middlebury Lot to Tallmadge Circle. When completed, this eight-mile multipurpose trail will connect Akron and Kent and become another popular linear park managed by Metro Parks, Serving Summit County."
GO1,MPSSC,MPSSC,Gorge Trail,natural,1.8,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf,"Gorge Trail provides access to Mary Campbell Cave, an easy half-mile walk from the parking lot. At the start of the trail, a short (half-mile, round trip) section earns Class B status and is good for users with wheelchairs, walkers, canes and strollers. The trail quickly becomes more rugged as it passes through stunning rock-ledge formations. An upper section of the trail is even considered ""primitive,"" earning Class D status."
GO2,MPSSC,MPSSC,Glens Trail,natural,1.8,y,n,y,n,n,n,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf,"Glens Trail, on the opposite side of Front Street, provides views from the edge of the Cuyahoga River. Springs flow from the ledges along this trail, providing water needed for liverwort."
GO3,MPSSC,MPSSC,Albermarle Connector Trail,natural,0.1,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf,Gorge Metro Park connector trail to the neighborhoods to the north and east of the park.
GO4,MPSSC,MPSSC,Highbridge Trail,natural,3.2,y,n,y,n,n,y,"Accessible for most of its length, except for a small section of the loop around Stow Lake",y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf,"Highbridge Trail offers a moderately challenging hike on the other side of the Cuyahoga than the Glens and Gorge trails, and it connects to Cascade Valley / South."
GO5,MPSSC,MPSSC,Connector Trail,natural,0.25,n,n,y,n,n,n,,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GorgeMetroPark-2013.pdf,Gorge Connector Trail offers pedestrian entrance to the park from Front Street.
GY1,MPSSC,MPSSC,Parcours Trail,natural,1.8,y,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf,"For a good workout, try this challenging hiking trail with numbered exercise stations."
GY2,MPSSC,MPSSC,Piney Woods Trail,natural,2,n,n,y,n,n,y,Dogs allowed in the lake area only.,y,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/GoodyearHeightsMetroPark-2013.pdf,"Although this trail is named for the many pines once planted in the park, they are giving way to a variety of other species through natural succession, including black cherries, oaks and tuliptrees."
